Stadium,home_team,Capacity,Turf
Acrisure Stadium,Pittsburgh Steelers,"68,400",Grass
Allegiant Stadium,Oakland Raiders,"65,000",Grass
Arrowhead Stadium,Kansas City Chiefs,"76,416",Grass
AT&T Stadium,Dallas Cowboys,"80,000",FieldTurf
Bank of America Stadium,Carolina Panthers,"74,867",Grass
Cleveland Browns Stadium,Cleveland Browns,"67,895",Grass
Empower Field,Denver Broncos,"76,125",Grass
FedEx Field,Washington Redskins,"79,000",Grass
Ford Field,Detroit Lions,"65,000",FieldTurf
Gillette Stadium,New England Patriots,"65,878",Fieldturf
Hard Rock Stadium,Miami Dolphins,"65,326",Grass
Highmark Stadium,Buffalo Bills,"71,608",FieldTurf
Lambeau Field,Green Bay Packers,"81,441",Grass
Levi¡¦s Stadium,San Francisco 49ers,"68,500",Grass
Lincoln Financial Field,Philadelphia Eagles,"67,594",Grass
Lucas Oil Stadium,Indianapolis Colts,"67,000",Fieldturf
Lumen Field,Seattle Seahawks,"68,740",FieldTurf
M&T Bank Stadium,Baltimore Ravens,"71,008",Fieldturf
Mercedes Benz Stadium,Atlanta Falcons,"71,000",Fieldturf
MetLife Stadium,New York Giants,"82,500",FieldTurf
Nissan Stadium,Tennessee Titans,"69,143",Grass
NRG Stadium,Houston Texans,"71,795",Grass
Paycor Stadium,Cincinnati Bengals,"65,515",Fieldturf
Raymond James Stadium,Tampa Bay Buccaneers,"65,890",Grass
SoFi Stadium,Los Angeles Rams,"70,000",FieldTurf
Soldier Field,Chicago Bears,"61,500",Grass
Superdome,New Orleans Saints,"74,295",FieldTurf
TIAA Bank Field,Jacksonville Jaguars,"67,264",Grass
University of Phoenix Stadium,Arizona Cardinals,"63,400",Grass
US Bank Stadium,Minnesota Vikings,"66,200",Fieldturf
SoFi Stadium,Los Angeles Chargers,"70,000",FieldTurf
MetLife Stadium,New York Jets,"82,500",FieldTurf
The Dome at America's Center,St. Louis Rams,"67,277",FieldTurf
qualcomm stadium,San Diego Chargers,"70,561",FieldTurf
